383498,209112
383498,272
383498,10138
383498,49521
383498,299536
402900,1572
402900,949
402900,75656
402900,259316
402900,489931
466282,43923
466282,449176
466282,308369
466282,9880
466282,12689
363088,141052
363088,49521
363088,99861
363088,297762
363088,209112
462919,64255
462919,621
462919,224141
462919,2976
462919,429417
293660,141052
293660,1452
293660,1924
293660,8536
293660,379291
474335,2300
474335,13260
474335,114887
474335,376808
474335,222728
454983,449176
454983,101299
454983,11121
454983,84892
454983,272693
283995,299536
283995,1452
283995,1924
283995,8536
283995,9531
354912,4011
354912,254470
354912,745
354912,228326
354912,6477
446894,8989
446894,487283
446894,413644
446894,14220
446894,353997
487558,324786
487558,1883
487558,363676
487558,424
487558,640
177572,281957
177572,2048
177572,238636
177572,956
177572,681
150540,12092
150540,812
150540,260513
150540,11360
150540,2300
269149,278927
269149,101299
269149,346364
269149,338970
269149,10315
455207,8966
455207,9880
455207,222935
455207,466282
455207,281957
98566,272
98566,1930
98566,604
98566,605
98566,263115
271718,10312
271718,510
271718,195589
271718,4964
271718,8363
194662,98566
194662,272
194662,49026
194662,283995
194662,315635
458423,224141
458423,30197
458423,621
458423,812
458423,11224
455980,460019
455980,4922
455980,260514
455980,254470
455980,470229
291805,467938
291805,281957
291805,260346
291805,241554
291805,9654
335797,260514
335797,9836
335797,9986
335797,258509
335797,9447
310,604
310,311
310,9946
310,59678
310,5876
257344,251516
257344,333339
257344,603
257344,604
257344,605
207703,1726
207703,99861
207703,102899
207703,646
207703,1724
460668,2062
460668,694
460668,453
460668,745
460668,433
399174,531
399174,387592
399174,263109
399174,533
399174,530
181533,1593
181533,863
181533,122
181533,8916
181533,1369
452731,370663
452731,10818
452731,258480
452731,437557
452731,10735
808,10882
808,809
808,10020
808,150689
808,38757
339846,2756
339846,205775
339846,11836
339846,228165
339846,4629
608,607
608,601
608,840
608,395
608,817
400155,49017
400155,7131
400155,277
400155,24021
400155,7191
449176,398818
449176,376867
449176,26280
449176,26371
449176,26933
166426,1865
166426,22
166426,58
166426,285
166426,71805
62177,10144
62177,109445
62177,10693
62177,10882
62177,11886
218746,52449
218746,400928
218746,118
218746,10830
218746,49519
134374,111
134374,272
134374,339846
134374,64688
134374,75780
455656,19840
455656,272693
455656,10625
455656,2105
455656,9880
585,62211
585,13374
585,1124
585,55721
585,339404
350,8966
350,9880
350,2501
350,222935
350,50619
93456,49519
93456,20352
93456,207703
93456,10054
93456,89
507562,81
507562,374205
507562,129
507562,12429
507562,4935
542437,444705
542437,35595
542437,34509
542437,34001
542437,812
254470,114150
254470,786
254470,525
254470,5123
254470,6477
20352,20497
20352,342473
20352,267935
20352,11774
20352,15739
353486,333339
353486,314095
353486,70160
353486,131631
353486,328387
445571,275
445571,10742
445571,425591
445571,264644
445571,984
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
196867,11224
196867,9325
196867,224141
196867,150689
196867,407655
313369,10947
313369,525
313369,2976
313369,10545
313369,705
159824,76492
159824,766
159824,129
159824,671
159824,672
425,49519
425,387592
425,278154
425,675
425,10567
118,252
118,9880
118,10830
118,34584
118,12155
387592,49519
387592,278154
387592,86130
387592,17610
387592,531
370567,10705
370567,10688
370567,540620
370567,297708
370567,106859
437557,376660
437557,10735
437557,80271
437557,391713
437557,11631
260514,9986
260514,258509
260514,9447
260514,9598
260514,15171
238713,954
238713,955
238713,691
238713,818
238713,817
171274,8966
171274,769
171274,9880
171274,222935
171274,466282
270946,10140
270946,49013
270946,10527
270946,953
270946,12
100042,862
100042,13
100042,50544
100042,920
100042,64688
420814,424
420814,640
420814,769
420814,324786
420814,316029
4247,238636
4247,398181
4247,22705
4247,106646
4247,339692
106646,261023
106646,769
106646,400535
106646,398181
106646,4771
340022,562
340022,1571
340022,2502
340022,1572
340022,2320
10193,862
10193,214756
10193,38757
10193,72105
10193,10895
2062,6283
2062,10009
2062,295964
2062,308531
2062,10137
122906,13
122906,118
122906,141
122906,521
122906,10735
257445,767
257445,671
257445,674
257445,68728
257445,675
9880,449176
9880,286565
9880,50479
9880,272693
9880,308369
390043,245891
390043,249070
390043,667
390043,682
390043,156022
391713,11421
391713,398818
391713,9813
391713,84892
391713,376867
18785,45243
18785,10029
18785,627
18785,20289
18785,12593
214756,250546
214756,72105
214756,11249
214756,11187
214756,11932
62764,290595
62764,58595
62764,408
62764,672
62764,673
418827,53932
418827,10068
418827,345
418827,796
418827,405817
224141,10882
224141,808
224141,11224
224141,150689
224141,321612
4327,11841
4327,9461
4327,24
4327,604
4327,605
50544,862
50544,38
50544,13523
50544,1903
50544,19913
505906,20943
505906,4951
505906,390043
505906,384677
505906,13969
13053,9325
13053,11886
13053,927
13053,10948
13053,2698
49519,12429
49519,98
49519,8392
49519,89
49519,278154
227159,8067
227159,562
227159,1571
227159,483
227159,769
127380,12
127380,920
127380,9479
127380,10865
127380,10555
920,62211
920,364689
920,128
920,11006
920,168259
120467,539
120467,311
120467,97630
120467,843
120467,916
223702,195589
223702,116977
223702,8363
223702,12593
223702,325133
10184,8390
10184,38
10184,10641
10184,261470
10184,416691
400579,2758
400579,433
400579,425
400579,111
400579,241239
51540,398181
51540,557
51540,7485
51540,337674
51540,340837
11631,10735
11631,109445
11631,382591
11631,1631
11631,9587
384677,769
384677,2291
384677,968
384677,18487
384677,10707
82702,10191
82702,425
82702,10054
82702,111
82702,1562
64688,75780
64688,193893
64688,187017
64688,90
64688,9604
43074,4011
43074,620
43074,91586
43074,416234
43074,497
9982,348
9982,601
9982,607
9982,608
9982,602
290250,2275
290250,75780
290250,807
290250,171274
290250,395990
2976,6477
2976,525
2976,630
2976,4688
2976,409447
454619,3134
454619,281957
454619,156022
454619,238636
454619,467938
10192,808
10192,809
10192,810
10192,10882
10192,14442
364689,1265
364689,25475
364689,2503
364689,6477
364689,426264
11130,4974
11130,400617
11130,50546
11130,521
11130,38
49524,75780
49524,238636
49524,210577
49524,9654
49524,752
301337,604
301337,605
301337,500664
301337,335984
301337,603
71552,843
71552,1440
71552,14
71552,787
71552,521
136799,122
136799,109445
136799,35614
136799,32685
136799,60304
324849,49521
324849,141052
324849,1452
324849,1924
324849,8536
950,425
950,435
950,7840
950,387893
10735,634
10735,9813
10735,668
10735,118
10735,49519
41154,348
41154,840
41154,126889
41154,602
41154,20424
489929,812
489929,238
489929,240
489929,272
489929,209419
57800,425
57800,30505
57800,17610
57800,18905
57800,10567
22794,1593
22794,2062
22794,73723
22794,181533
22794,158852
